Date;Open;High;Low;Last Close;Chg.%;Total Value;Total Volume
08.10.2009;27.956;28.045;26.991;27.090;-2.75%;46,242,782;1,686,967
08.11.2009;27.160;27.587;25.697;25.856;-4.55%;55,410,313;2,081,033
08.12.2009;25.817;26.165;25.001;25.996;+0.54%;72,137,832;2,825,196
08/13/2009;26.612;28.254;26.612;28.254;+8.69%;87,537,016;3,168,045
08/14/2009;28.254;29.060;27.369;27.508;-2.64%;67,268,286;2,382,408
08/17/2009;27.209;27.209;26.175;26.931;-2.10%;47,426,847;1,775,204
08/18/2009;26.861;27.488;26.782;27.040;+0.41%;36,478,706;1,340,600
08/19/2009;27.010;27.010;25.787;26.165;-3.24%;58,079,376;2,214,412
08/20/2009;26.821;27.249;26.712;27.060;+3.42%;30,258,615;1,120,472
08/21/2009;26.792;28.741;26.612;28.632;+5.81%;68,539,783;2,463,776
08/24/2009;29.100;30.672;29.080;30.353;+6.01%;119,099,314;3,988,075
08/25/2009;29.687;30.184;29.149;30.035;-1.05%;66,779,986;2,232,805
08/26/2009;29.597;29.945;29.000;29.338;-2.32%;56,977,980;1,943,047
08/27/2009;29.348;29.866;28.990;29.647;+1.05%;54,934,403;1,860,075
08/28/2009;29.846;30.154;29.498;30.154;+1.71%;68,030,818;2,271,900
08/31/2009;29.756;29.915;29.279;29.408;-2.47%;47,928,186;1,625,376
09.01.2009;29.547;29.826;28.781;28.911;-1.69%;63,007,963;2,160,350
09.02.2009;28.622;28.741;26.682;27.170;-6.02%;89,493,227;3,238,308
09.03.2009;27.508;28.045;26.961;27.597;+1.57%;44,937,732;1,627,147
09.04.2009;28.324;28.751;28.254;28.602;+3.64%;41,475,515;1,453,728
09.07.2009;29.100;29.846;29.000;29.846;+4.35%;36,042,713;1,220,095
09.08.2009;29.846;30.094;29.179;29.587;-0.87%;40,192,403;1,353,728
09.09.2009;29.348;29.925;29.050;29.577;-0.03%;43,196,966;1,463,934
09.10.2009;29.796;29.985;29.159;29.159;-1.41%;40,262,189;1,362,790
09.11.2009;29.438;29.647;28.960;29.279;+0.41%;30,526,795;1,041,261
